Title	URL	Assignees	Status	Labels
Charte de modération	https://github.com/O-clock-Francfort/cines-delices/issues/240	Nathalie-Leduc	Done	documentation, Front, Jeudi
5. Polish visuel espace membre	https://github.com/O-clock-Francfort/cines-delices/issues/224	vincentduverger-dev	Done	Front, Lundi
4. Polish visuel espace admin	https://github.com/O-clock-Francfort/cines-delices/issues/223	vincentduverger-dev	Done	Front, Lundi
Refacto UI page connexion + page création de compte	https://github.com/O-clock-Francfort/cines-delices/issues/252	vincentduverger-dev	Done	Front, Lundi
mentions légales	https://github.com/O-clock-Francfort/cines-delices/issues/239	Nathalie-Leduc	Done	documentation, Front, Vendredi
3. Uniformisation des états UI loading / error / empty / success	https://github.com/O-clock-Francfort/cines-delices/issues/222	vincentduverger-dev	Done	Front
RGPD: volet 3 = vérifier l'inactivité et envoi d'un  email	https://github.com/O-clock-Francfort/cines-delices/issues/238	Nathalie-Leduc	Done	Back, Front, NEW, Vendredi
RGPD: volet 2 = mettre à jour au login	https://github.com/O-clock-Francfort/cines-delices/issues/237	Nathalie-Leduc	Done	Back, CORRECTION, Vendredi
RGPD : volet 1 = bandeau cookies	https://github.com/O-clock-Francfort/cines-delices/issues/236	Nathalie-Leduc	Done	Front, Jeudi, NEW
2. Harmonisation des composants UI globaux	https://github.com/O-clock-Francfort/cines-delices/issues/221	vincentduverger-dev	Done	Front
modifier le shema prisma	https://github.com/O-clock-Francfort/cines-delices/issues/217	Nathalie-Leduc	Done	Back, CORRECTION, Jeudi
Déploiement final Render / code d-02	https://github.com/O-clock-Francfort/cines-delices/issues/143	oriannejaunet	Done	DEPLOY, Front, Jeudi
Swagger routes auth (aide + review) / code sw-02b	https://github.com/O-clock-Francfort/cines-delices/issues/167	oriannejaunet	Done	Back, Jeudi, SWAGGER
1. Polish responsive global front	https://github.com/O-clock-Francfort/cines-delices/issues/220	vincentduverger-dev	Done	Front
Seed v3	https://github.com/O-clock-Francfort/cines-delices/issues/209	Nathalie-Leduc	Done	Back, Mercredi, NEW
Swagger routes admin / code sw-04	https://github.com/O-clock-Francfort/cines-delices/issues/159	oriannejaunet	Done	Back, Jeudi, SWAGGER
Tests HTTP back complet / code b-08	https://github.com/O-clock-Francfort/cines-delices/issues/147	oriannejaunet	Done	Back, Jeudi, NEW
